dataset,comparison_model,alternative_hypothesis,baseline_f1_mean,comparison_f1_mean,f1_gain_mean,f1_gain_std,f1_percent_improvement,n_positive_deltas,n_negative_deltas,n_zero_deltas,min_delta_f1,max_delta_f1,wilcoxon_statistic,wilcoxon_p_value
caffe,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.6227515612539903,0.7880405289243402,0.1652889676703499,0.09562642737836337,26.541718713240847,29,1,0,-0.06149680524337797,0.3912616067174248,463.0,2.7939677238464355e-09
incubator-mxnet,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5026796620106957,0.8438617076993061,0.3411820456886105,0.0445728528802675,67.87265757359226,30,0,0,0.2714354066985646,0.45127068481790494,465.0,9.313225746154785e-10
keras,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5301070573620941,0.8557194774072988,0.32561242004520496,0.042340951401801934,61.42389834715833,30,0,0,0.22690405917975176,0.4091838792383258,465.0,9.313225746154785e-10
pytorch,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5290777560097013,0.81427267147942,0.2851949154697185,0.05043543516556285,53.9041591203258,30,0,0,0.17625537718626338,0.3803762652683516,465.0,9.313225746154785e-10
tensorflow,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.627790974399102,0.8818406731316232,0.2540496987325211,0.03396946288031051,40.46724293475037,30,0,0,0.1987867696513128,0.31429822308961575,465.0,9.313225746154785e-10
