dataset,baseline_nb_tfidf,tfidf_lr,embedding_lr,hybrid_lr
caffe,0.625 (0.070),0.765 (0.065),0.752 (0.047),0.795 (0.053)
incubator-mxnet,0.507 (0.039),0.783 (0.033),0.836 (0.024),0.841 (0.026)
keras,0.518 (0.040),0.794 (0.031),0.847 (0.023),0.855 (0.023)
pytorch,0.523 (0.040),0.755 (0.038),0.794 (0.029),0.811 (0.028)
tensorflow,0.625 (0.023),0.824 (0.025),0.877 (0.016),0.883 (0.017)
