dataset,baseline_nb_tfidf,tfidf_lr,embedding_lr,hybrid_lr
caffe,0.623 (0.073),0.758 (0.061),0.744 (0.046),0.788 (0.063)
incubator-mxnet,0.503 (0.037),0.779 (0.031),0.832 (0.026),0.844 (0.030)
keras,0.530 (0.039),0.805 (0.034),0.845 (0.025),0.856 (0.023)
pytorch,0.529 (0.039),0.751 (0.037),0.796 (0.028),0.814 (0.027)
tensorflow,0.628 (0.027),0.820 (0.026),0.875 (0.016),0.882 (0.017)
