dataset,accuracy_delta_mean,accuracy_percent_improvement,precision_macro_delta_mean,precision_macro_percent_improvement,recall_macro_delta_mean,recall_macro_percent_improvement,f1_macro_delta_mean,f1_macro_percent_improvement,auc_delta_mean,auc_percent_improvement
caffe,0.028,3.149,0.07,9.547,0.198,33.041,0.17,27.21,0.341,56.852
incubator-mxnet,0.077,9.105,0.275,49.583,0.346,67.257,0.334,65.926,0.445,86.514
keras,0.146,19.322,0.297,54.969,0.355,67.711,0.337,65.091,0.425,81.02
pytorch,0.054,6.374,0.221,39.326,0.332,63.342,0.288,55.072,0.424,80.82
tensorflow,0.179,24.041,0.243,39.359,0.271,42.044,0.258,41.329,0.325,50.489
