dataset,comparison_model,alternative_hypothesis,baseline_f1_mean,comparison_f1_mean,f1_gain_mean,f1_gain_std,f1_percent_improvement,n_positive_deltas,n_negative_deltas,n_zero_deltas,min_delta_f1,max_delta_f1,wilcoxon_statistic,wilcoxon_p_value
caffe,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5989888003381287,0.7832124906084529,0.1842236902703243,0.0807767640143945,30.755782105830715,30,0,0,0.06847274219190724,0.3396494517513625,465.0,8.666533220995528e-07
incubator-mxnet,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5180806100178865,0.8220121613317186,0.30393155131383237,0.051657184542779844,58.66491535040064,30,0,0,0.20447710184552292,0.3887959866220736,465.0,9.313225746154785e-10
keras,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5389270779310743,0.8393995865508402,0.30047250861976593,0.04422046032258937,55.753834038785236,30,0,0,0.19291893576606056,0.390857782318883,465.0,9.313225746154785e-10
pytorch,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5208162942346265,0.8057552519581251,0.28493895772349875,0.04288218585753821,54.710069726646154,30,0,0,0.18586322263700605,0.33946014298167804,465.0,9.313225746154785e-10
tensorflow,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.6028991567266656,0.8823768944362469,0.27947773770958145,0.03160600836485828,46.35563586238144,30,0,0,0.223084180713795,0.3477193053578742,465.0,9.313225746154785e-10
