dataset,hybrid_f1_mean,late_fusion_f1_mean,delta_late_minus_hybrid,within_0_01
caffe,0.780638,0.774405,-0.006233000000000044,True
incubator-mxnet,0.821741,0.817284,-0.004457000000000044,True
keras,0.84484,0.840476,-0.0043640000000000345,True
pytorch,0.80802,0.796774,-0.011245999999999978,False
tensorflow,0.883044,0.8764,-0.006644000000000094,True
