model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
embedding_knn,0.871808,0.01993,0.801837,0.028695,0.823638,0.030853,0.810347,0.026953,0.911059,0.018676,0.0,0.0,0.0,0.0,0.000571,0.000177,0.025099,5.5e-05,0.006642,0.003471,2.32067,0.000134,0.007213,0.003519,2.32067,0.000134,768,keras
baseline_nb_tfidf,0.852065,0.012712,0.576602,0.070578,0.528937,0.026911,0.529078,0.038526,0.528937,0.026911,0.446229,0.035737,18.665661,0.01004,0.292216,0.028422,29.122858,0.001462,0.004234,0.00208,10.394805,1.3e-05,0.742679,0.056795,29.122858,0.001462,768,pytorch
tfidf_lr,0.878761,0.01821,0.735105,0.033743,0.776072,0.047507,0.751212,0.036918,0.900018,0.021644,0.467494,0.022525,9.565908,0.634253,0.008489,0.001903,0.975534,0.000423,0.000541,0.001115,0.007914,1.6e-05,0.476524,0.022592,9.565908,0.634253,768,pytorch
embedding_lr,0.886136,0.021075,0.759441,0.029956,0.873913,0.022305,0.796394,0.028025,0.95005,0.013467,0.0,0.0,0.0,0.0,0.005928,0.001989,3.359891,0.000297,0.000458,7.3e-05,1.326972,1.3e-05,0.006386,0.001992,3.359891,0.000297,768,pytorch
late_fusion_lr,0.897345,0.01893,0.773184,0.030768,0.863189,0.033532,0.805784,0.029686,0.94593,0.014125,0.467494,0.022525,9.565908,0.634253,0.014416,0.002853,3.359891,0.000297,0.001014,0.001116,1.326972,1.3e-05,0.482924,0.022524,9.565908,0.634253,768,pytorch
hybrid_lr,0.90531,0.016126,0.78591,0.029022,0.859426,0.033185,0.814273,0.027199,0.948533,0.014163,0.467494,0.022525,9.565908,0.634253,0.035336,0.008859,13.283479,0.01984,0.007554,0.001769,5.685455,0.020245,0.510384,0.023894,13.283479,0.01984,768,pytorch
embedding_centroid,0.858702,0.025483,0.729031,0.025889,0.866999,0.0211,0.765249,0.029494,0.866999,0.0211,0.0,0.0,0.0,0.0,0.000274,4.7e-05,1.364296,0.0,0.003089,0.001147,0.697759,0.000221,0.003363,0.001157,1.364296,0.0,768,pytorch
embedding_knn,0.900147,0.014264,0.781702,0.035099,0.782948,0.042066,0.778534,0.029901,0.915459,0.023374,0.0,0.0,0.0,0.0,0.000704,0.000215,0.027868,5.7e-05,0.008724,0.00315,2.662146,0.000165,0.009428,0.00317,2.662146,0.000165,768,pytorch
baseline_nb_tfidf,0.747502,0.01773,0.61999,0.02472,0.646135,0.035476,0.627791,0.027452,0.644855,0.036206,1.257264,0.087176,38.784695,0.017049,0.372127,0.030478,55.220346,0.001456,0.007754,0.004715,20.513067,1.5e-05,1.637146,0.112938,55.220346,0.001456,768,tensorflow
tfidf_lr,0.878076,0.019624,0.796998,0.025772,0.856612,0.026761,0.819897,0.026182,0.934466,0.015775,1.186175,0.024249,25.451281,0.470053,0.01148,0.004507,0.99228,0.00039,0.0008,0.002105,0.014654,1.9e-05,1.198455,0.026341,25.451281,0.470053,768,tensorflow
embedding_lr,0.915138,0.01242,0.846952,0.017727,0.917098,0.014503,0.874629,0.016486,0.965764,0.006688,0.0,0.0,0.0,0.0,0.008703,0.005289,6.405735,0.000475,0.000525,0.000205,2.623579,1.5e-05,0.009229,0.005281,6.405735,0.000475,768,tensorflow
late_fusion_lr,0.918941,0.012291,0.85411,0.019136,0.911662,0.015488,0.877876,0.016915,0.965918,0.007481,1.186175,0.024249,25.451281,0.470053,0.020183,0.006057,6.405735,0.000475,0.001336,0.002107,2.623579,1.5e-05,1.207694,0.024934,25.451281,0.470053,768,tensorflow
hybrid_lr,0.922222,0.012178,0.859661,0.019462,0.912157,0.014704,0.881841,0.016963,0.967726,0.007165,1.186175,0.024249,25.451281,0.470053,0.046881,0.014551,27.616541,0.041113,0.010665,0.003341,11.818599,0.033825,1.243721,0.028051,27.616541,0.041113,768,tensorflow
embedding_centroid,0.892767,0.014557,0.816376,0.018574,0.892191,0.017294,0.844527,0.018625,0.892191,0.017294,0.0,0.0,0.0,0.0,0.000321,0.00011,2.501015,0.0,0.004032,0.005497,1.346878,0.000211,0.004354,0.005492,2.501015,0.0,768,tensorflow
embedding_knn,0.881133,0.013998,0.801013,0.018127,0.871761,0.018142,0.827209,0.017962,0.932646,0.010378,0.0,0.0,0.0,0.0,0.000789,0.000546,0.052029,5.5e-05,0.013524,0.001954,6.149303,0.00015,0.014313,0.002409,6.149303,0.00015,768,tensorflow
