model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
embedding_knn,0.853731,0.022119,0.775792,0.032039,0.789306,0.039852,0.780494,0.032837,0.885325,0.025159,0.0,0.0,0.0,0.0,0.000579,0.000364,0.025073,6.1e-05,0.005943,0.002111,2.320674,0.000144,0.006522,0.002232,2.320674,0.000144,768,keras
baseline_nb_tfidf,0.834366,0.015047,0.542093,0.051166,0.521235,0.025319,0.520816,0.032529,0.521092,0.025199,0.278486,0.015344,18.594161,0.006911,0.23626,0.016622,29.121108,0.001421,0.003221,0.00171,10.394807,1.1e-05,0.517966,0.017939,29.121108,0.001421,768,pytorch
tfidf_lr,0.887168,0.021855,0.752804,0.041607,0.794618,0.048462,0.768886,0.040989,0.911996,0.020655,0.276263,0.013575,7.744832,0.615901,0.006788,0.004263,0.975406,0.00033,0.000253,0.000212,0.007911,1.9e-05,0.283304,0.013396,7.744832,0.615901,768,pytorch
embedding_lr,0.878761,0.02018,0.749437,0.026697,0.870663,0.027822,0.786839,0.027086,0.944933,0.013345,0.0,0.0,0.0,0.0,0.005881,0.004972,3.359623,0.0004,0.000379,0.000116,1.326975,8e-06,0.00626,0.004992,3.359623,0.0004,768,pytorch
late_fusion_lr,0.89115,0.015702,0.762369,0.025102,0.850814,0.039626,0.793782,0.026476,0.946024,0.013258,0.276263,0.013575,7.744832,0.615901,0.012669,0.006441,3.359623,0.0004,0.000642,0.000236,1.326975,8e-06,0.289574,0.012119,7.744832,0.615901,768,pytorch
hybrid_lr,0.90177,0.016367,0.780178,0.029977,0.847103,0.036402,0.805755,0.027657,0.946753,0.012805,0.276263,0.013575,7.744832,0.615901,0.027459,0.008896,12.929625,0.013398,0.00625,0.002728,5.532926,0.014001,0.309972,0.014615,12.929625,0.013398,768,pytorch
embedding_centroid,0.85177,0.027858,0.720856,0.028579,0.856651,0.02657,0.75537,0.033099,0.856651,0.02657,0.0,0.0,0.0,0.0,0.00021,3.8e-05,1.364296,0.0,0.001975,0.000565,0.697619,0.000249,0.002185,0.000573,1.364296,0.0,768,pytorch
embedding_knn,0.896903,0.020365,0.772538,0.043467,0.787458,0.04791,0.777056,0.04104,0.906724,0.028072,0.0,0.0,0.0,0.0,0.000526,7.9e-05,0.027843,6.3e-05,0.006994,0.004321,2.662133,0.000169,0.00752,0.004344,2.662133,0.000169,768,pytorch
baseline_nb_tfidf,0.724459,0.020002,0.597003,0.023006,0.622035,0.030863,0.602899,0.02545,0.621766,0.031315,0.994798,0.068334,36.712566,0.012394,0.412136,0.022659,55.219322,0.001532,0.0093,0.00439,20.513074,2.4e-05,1.416234,0.084589,55.219322,0.001532,768,tensorflow
tfidf_lr,0.879195,0.017635,0.798343,0.024014,0.856233,0.02452,0.820856,0.023812,0.934349,0.014012,0.89016,0.045816,19.757262,0.454426,0.00822,0.003853,0.991851,0.000418,0.000284,4.7e-05,0.014663,9e-06,0.898663,0.046194,19.757262,0.454426,768,tensorflow
embedding_lr,0.914094,0.010763,0.845088,0.015119,0.916913,0.014603,0.873316,0.014676,0.961973,0.009488,0.0,0.0,0.0,0.0,0.006289,0.002513,6.405321,0.000445,0.000597,0.000371,2.623577,1.7e-05,0.006885,0.002795,6.405321,0.000445,768,tensorflow
late_fusion_lr,0.916257,0.012664,0.849418,0.0186,0.912144,0.018187,0.874811,0.017635,0.963652,0.008915,0.89016,0.045816,19.757262,0.454426,0.014509,0.004107,6.405321,0.000445,0.00089,0.000375,2.623577,1.7e-05,0.905559,0.046549,19.757262,0.454426,768,tensorflow
hybrid_lr,0.922148,0.010839,0.858678,0.016338,0.915619,0.015406,0.882377,0.015078,0.966139,0.008741,0.89016,0.045816,19.757262,0.454426,0.049624,0.012942,26.478061,0.03157,0.013293,0.006894,11.329263,0.024178,0.953076,0.047397,26.478061,0.03157,768,tensorflow
embedding_centroid,0.889336,0.01276,0.8116,0.016935,0.878947,0.020342,0.837402,0.017631,0.878947,0.020342,0.0,0.0,0.0,0.0,0.000305,4.1e-05,2.501015,0.0,0.003152,0.002611,1.346665,0.000228,0.003457,0.002638,2.501015,0.0,768,tensorflow
embedding_knn,0.885981,0.015482,0.807744,0.02013,0.873373,0.016634,0.832689,0.019089,0.931313,0.011781,0.0,0.0,0.0,0.0,0.000827,0.001061,0.051977,6.1e-05,0.013915,0.002587,6.149231,0.000187,0.014742,0.003212,6.149231,0.000187,768,tensorflow
