seed,model,accuracy,precision_macro,recall_macro,f1_macro,auc,feature_prep_seconds,feature_prep_memory_mb,fit_seconds,fit_memory_mb,predict_seconds,predict_memory_mb,runtime_seconds,peak_python_memory_mb,embedding_dimension,dataset
0,embedding_lr,0.9161290322580645,0.8024193548387097,0.9305555555555556,0.847452494511318,0.9588888888888888,0.0,0.0,0.004772584012243897,1.6018171310424805,0.0004193339846096933,0.6076850891113281,0.00519191799685359,1.6018171310424805,512,incubator-mxnet
0,hybrid_lr,0.9290322580645162,0.8236179529282978,0.9379629629629629,0.8666823051059505,0.967037037037037,0.24444620800204575,6.898980140686035,0.011512458004290238,6.0241851806640625,0.0027490009961184114,2.55908203125,0.2587076670024544,6.898980140686035,512,incubator-mxnet
0,embedding_centroid,0.8709677419354839,0.7415966386554622,0.8833333333333333,0.782058492688414,0.8833333333333333,0.0,0.0,0.0001526669948361814,0.6289443969726562,0.0015877919795457274,0.33978271484375,0.0017404589743819088,0.6289443969726562,512,incubator-mxnet
1,embedding_lr,0.9032258064516129,0.7811986863711001,0.8805555555555555,0.818203143326296,0.9611111111111111,0.0,0.0,0.004222375020617619,1.6026678085327148,0.0002835830091498792,0.6076850891113281,0.004505958029767498,1.6026678085327148,512,incubator-mxnet
1,hybrid_lr,0.9161290322580645,0.8109452736318408,0.8240740740740741,0.8172998458609122,0.962962962962963,0.22184741700766608,6.729598045349121,0.013236583006801084,6.01708984375,0.0027779169904533774,2.5668869018554688,0.23786191700492054,6.729598045349121,512,incubator-mxnet
1,embedding_centroid,0.8903225806451613,0.7620967741935484,0.8731481481481481,0.8005148005148005,0.8731481481481481,0.0,0.0,0.00015574999270029366,0.6289443969726562,0.0017575010133441538,0.3398704528808594,0.0019132510060444474,0.6289443969726562,512,incubator-mxnet
2,embedding_lr,0.9290322580645162,0.8384861407249466,0.8527777777777779,0.8454075618823103,0.9666666666666667,0.0,0.0,0.0033349160221405327,1.6025800704956055,0.0002582920133136213,0.6076850891113281,0.003593208035454154,1.6025800704956055,512,incubator-mxnet
2,hybrid_lr,0.9225806451612903,0.8355636658556367,0.8064814814814815,0.820046439628483,0.967037037037037,0.22343012498458847,6.911050796508789,0.014518665993819013,6.0285797119140625,0.0027654989971779287,2.5582809448242188,0.24071428997558542,6.911050796508789,512,incubator-mxnet
2,embedding_centroid,0.9032258064516129,0.7806712962962963,0.8592592592592593,0.8119084216487339,0.8592592592592593,0.0,0.0,0.00018991701654158533,0.6289443969726562,0.0016738340200390667,0.33991432189941406,0.001863751036580652,0.6289443969726562,512,incubator-mxnet
3,embedding_lr,0.896774193548387,0.7731199186991871,0.8981481481481481,0.8151460942158617,0.9633333333333333,0.0,0.0,0.003668416989967227,1.6022682189941406,0.0002806249831337482,0.6076850891113281,0.003949041973100975,1.6022682189941406,512,incubator-mxnet
3,hybrid_lr,0.9225806451612903,0.8221120984278878,0.8490740740740741,0.8347547974413646,0.9644444444444444,0.2508972080249805,7.055537223815918,0.021015125006670132,6.0123748779296875,0.0034387499908916652,2.5671615600585938,0.2753510830225423,7.055537223815918,512,incubator-mxnet
3,embedding_centroid,0.8838709677419355,0.7534298780487805,0.8694444444444445,0.7920393559928444,0.8694444444444445,0.0,0.0,0.0001562089892104268,0.6289443969726562,0.0015894579992163926,0.3394317626953125,0.0017456669884268194,0.6289443969726562,512,incubator-mxnet
4,embedding_lr,0.9096774193548387,0.7928099593495934,0.9268518518518518,0.8382528324388789,0.9677777777777777,0.0,0.0,0.003476249985396862,1.6022634506225586,0.0003139999753329903,0.6076850891113281,0.0037902499607298523,1.6022634506225586,512,incubator-mxnet
4,hybrid_lr,0.9290322580645162,0.8326745718050066,0.8740740740740741,0.8514937723194844,0.9625925925925926,0.21351479200529866,7.0944013595581055,0.01126941601978615,6.03466796875,0.003261624980950728,2.55120849609375,0.22804583300603554,7.0944013595581055,512,incubator-mxnet
4,embedding_centroid,0.8838709677419355,0.7564414195430238,0.8907407407407408,0.7981770833333333,0.8907407407407407,0.0,0.0,0.00015591701958328485,0.6289443969726562,0.0015686240221839398,0.33956336975097656,0.0017245410417672247,0.6289443969726562,512,incubator-mxnet
5,embedding_lr,0.9225806451612903,0.8180661577608141,0.8703703703703705,0.84107997265892,0.9655555555555556,0.0,0.0,0.0030856670055072755,1.6026973724365234,0.000259541004197672,0.6076412200927734,0.0033452080097049475,1.6026973724365234,512,incubator-mxnet
5,hybrid_lr,0.9161290322580645,0.8163699690402477,0.8027777777777778,0.8093480934809347,0.9688888888888888,0.2083316670032218,5.824023246765137,0.012656292004976422,6.041557312011719,0.002697042014915496,2.569793701171875,0.22368500102311373,6.041557312011719,512,incubator-mxnet
5,embedding_centroid,0.9161290322580645,0.8030960648148149,0.887962962962963,0.8369872987622361,0.887962962962963,0.0,0.0,0.00015437501133419573,0.6289443969726562,0.0015677080082241446,0.3393440246582031,0.0017220830195583403,0.6289443969726562,512,incubator-mxnet
6,embedding_lr,0.9225806451612903,0.8135545556805399,0.912962962962963,0.8520992366412214,0.967037037037037,0.0,0.0,0.0034385409962851554,1.6020002365112305,0.00028270698385313153,0.6076850891113281,0.003721247980138287,1.6020002365112305,512,incubator-mxnet
6,hybrid_lr,0.9290322580645162,0.8284615384615385,0.8953703703703704,0.8570230607966457,0.9644444444444444,0.21065850000013597,6.89083194732666,0.011723874980816618,6.022857666015625,0.002873251010896638,2.5608673095703125,0.22525562599184923,6.89083194732666,512,incubator-mxnet
6,embedding_centroid,0.896774193548387,0.7731199186991871,0.8981481481481481,0.8151460942158617,0.898148148148148,0.0,0.0,0.00019433299894444644,0.6289443969726562,0.001592249987879768,0.3394317626953125,0.0017865829868242145,0.6289443969726562,512,incubator-mxnet
7,embedding_lr,0.8838709677419355,0.7481721034870641,0.8268518518518518,0.7781488549618321,0.9199999999999999,0.0,0.0,0.003132624988211319,1.602595329284668,0.00026570798945613205,0.6076850891113281,0.003398332977667451,1.602595329284668,512,incubator-mxnet
7,hybrid_lr,0.8903225806451613,0.755863539445629,0.7666666666666666,0.7610844138181159,0.9211111111111111,0.1936124589992687,7.044252395629883,0.010940125008346513,6.029815673828125,0.00285799999255687,2.5578689575195312,0.2074105840001721,7.044252395629883,512,incubator-mxnet
7,embedding_centroid,0.8516129032258064,0.7067809239940387,0.8083333333333333,0.738271786212466,0.8083333333333333,0.0,0.0,0.00015849998453631997,0.6289443969726562,0.001765666005667299,0.3394756317138672,0.001924165990203619,0.6289443969726562,512,incubator-mxnet
8,embedding_lr,0.8903225806451613,0.7620967741935484,0.8731481481481481,0.8005148005148005,0.9444444444444444,0.0,0.0,0.016984499990940094,1.6022682189941406,0.0003218339697923511,0.6076412200927734,0.017306333960732445,1.6022682189941406,512,incubator-mxnet
8,hybrid_lr,0.9290322580645162,0.8463622291021672,0.8314814814814815,0.8386791560223295,0.9574074074074073,0.21011691700550728,6.885305404663086,0.03434845799347386,6.017066955566406,0.004020081978524104,2.566497802734375,0.24848545697750524,6.885305404663086,512,incubator-mxnet
8,embedding_centroid,0.864516129032258,0.7303571428571428,0.8583333333333334,0.7679144385026737,0.8583333333333334,0.0,0.0,0.00015670800348743796,0.6289443969726562,0.0015772499900776893,0.33933067321777344,0.0017339579935651273,0.6289443969726562,512,incubator-mxnet
9,embedding_lr,0.9225806451612903,0.8355636658556367,0.8064814814814815,0.820046439628483,0.9581481481481481,0.0,0.0,0.003348750004079193,1.6020545959472656,0.00029454100877046585,0.6076850891113281,0.0036432910128496587,1.6020545959472656,512,incubator-mxnet
9,hybrid_lr,0.9225806451612903,0.8609422492401215,0.7638888888888888,0.8017902813299234,0.9618518518518518,0.2086179159814492,7.227434158325195,0.012555166991660371,6.0350799560546875,0.002737541013630107,2.553131103515625,0.22391062398673967,7.227434158325195,512,incubator-mxnet
9,embedding_centroid,0.8903225806451613,0.756923076923077,0.8092592592592592,0.7790356394129979,0.8092592592592592,0.0,0.0,0.00015362497651949525,0.6289443969726562,0.0019726669997908175,0.33995819091796875,0.0021262919763103127,0.6289443969726562,512,incubator-mxnet
10,embedding_lr,0.9290322580645162,0.8255208333333333,0.9166666666666667,0.8620661758757382,0.9748148148148148,0.0,0.0,0.0035560409887693822,1.6018791198730469,0.00031108397524803877,0.6076850891113281,0.003867124964017421,1.6018791198730469,512,incubator-mxnet
10,hybrid_lr,0.9225806451612903,0.8180661577608141,0.8703703703703705,0.84107997265892,0.9696296296296296,0.2564860839920584,6.79449462890625,0.011227916984353215,6.0247344970703125,0.005829583999002352,2.5611419677734375,0.273543584975414,6.79449462890625,512,incubator-mxnet
10,embedding_centroid,0.9096774193548387,0.792,0.9055555555555556,0.833076923076923,0.9055555555555556,0.0,0.0,0.0001627919846214354,0.6289443969726562,0.002885249996325001,0.33965110778808594,0.0030480419809464365,0.6289443969726562,512,incubator-mxnet
11,embedding_lr,0.9032258064516129,0.7806712962962963,0.8592592592592593,0.8119084216487339,0.9403703703703704,0.0,0.0,0.0030072919907979667,1.6020879745483398,0.0002615000121295452,0.6076850891113281,0.003268792002927512,1.6020879745483398,512,incubator-mxnet
11,hybrid_lr,0.9290322580645162,0.8384861407249466,0.8527777777777779,0.8454075618823103,0.9374074074074075,0.20048241599579342,6.775856018066406,0.012998624995816499,6.018760681152344,0.002809584024362266,2.566497802734375,0.21629062501597218,6.775856018066406,512,incubator-mxnet
11,embedding_centroid,0.8451612903225807,0.6999270782693243,0.8046296296296296,0.7309027777777778,0.8046296296296297,0.0,0.0,0.0001514169853180647,0.6289443969726562,0.0017708340310491621,0.33995819091796875,0.0019222510163672268,0.6289443969726562,512,incubator-mxnet
