dataset,hybrid_f1_mean,late_fusion_f1_mean,delta_late_minus_hybrid,within_0_01
caffe,0.795038,0.777151,-0.017886999999999986,False
incubator-mxnet,0.841395,0.841559,0.00016399999999994197,True
keras,0.854644,0.849191,-0.00545299999999993,True
pytorch,0.811173,0.805636,-0.005537000000000014,True
tensorflow,0.883307,0.879124,-0.004182999999999937,True
