dataset,hybrid_f1_mean,late_fusion_f1_mean,delta_late_minus_hybrid,within_0_01
caffe,0.775404,0.768697,-0.0067070000000000185,True
incubator-mxnet,0.828383,0.825288,-0.003094999999999959,True
keras,0.843884,0.83984,-0.0040439999999999365,True
pytorch,0.805473,0.798199,-0.007274000000000003,True
tensorflow,0.884579,0.873799,-0.010780000000000012,False
