dataset,models_compared,friedman_statistic,friedman_p_value,baseline_nb_tfidf_mean_rank,tfidf_lr_mean_rank,embedding_lr_mean_rank,hybrid_lr_mean_rank
caffe,"baseline_nb_tfidf, tfidf_lr, embedding_lr, hybrid_lr",51.02013422818793,4.8440038472715204e-11,3.6666666666666665,2.6,2.433333333333333,1.3
incubator-mxnet,"baseline_nb_tfidf, tfidf_lr, embedding_lr, hybrid_lr",73.96000000000004,6.053212026790728e-16,4.0,2.8333333333333335,1.7666666666666666,1.4
keras,"baseline_nb_tfidf, tfidf_lr, embedding_lr, hybrid_lr",71.63999999999999,1.9012077510971785e-15,4.0,2.5,2.3,1.2
pytorch,"baseline_nb_tfidf, tfidf_lr, embedding_lr, hybrid_lr",70.0,4.268336335492317e-15,4.0,2.6666666666666665,2.0,1.3333333333333333
tensorflow,"baseline_nb_tfidf, tfidf_lr, embedding_lr, hybrid_lr",84.24000000000001,3.778176965491432e-18,4.0,3.0,1.8,1.2
