dataset,embedding_dimension,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
pytorch,512,hybrid_lr,0.903245,0.016788,0.783332,0.031434,0.847459,0.034274,0.807909,0.027441,0.94579,0.012731
tensorflow,64,embedding_centroid,0.856972,0.014509,0.773047,0.016623,0.861155,0.019581,0.800962,0.018273,0.861155,0.019581
tensorflow,64,embedding_lr,0.884937,0.012527,0.806395,0.015551,0.891335,0.017539,0.836126,0.016234,0.952827,0.010717
tensorflow,64,hybrid_lr,0.909247,0.014072,0.839383,0.020187,0.903863,0.017611,0.865127,0.01906,0.962847,0.009318
tensorflow,128,embedding_centroid,0.866741,0.013911,0.783906,0.016528,0.868085,0.018568,0.812083,0.017675,0.868085,0.018568
tensorflow,128,embedding_lr,0.897241,0.010736,0.822037,0.014105,0.899826,0.015158,0.850973,0.014103,0.958686,0.009036
tensorflow,128,hybrid_lr,0.912155,0.012266,0.843524,0.017765,0.906264,0.013835,0.868924,0.016417,0.964986,0.008522
tensorflow,256,embedding_centroid,0.878896,0.013303,0.798228,0.016551,0.877094,0.02033,0.826323,0.017798,0.877094,0.02033
tensorflow,256,embedding_lr,0.903803,0.012069,0.830899,0.016069,0.906459,0.016073,0.859617,0.015957,0.960121,0.009386
tensorflow,256,hybrid_lr,0.917972,0.012059,0.852403,0.017961,0.910608,0.015671,0.876492,0.016751,0.96539,0.008766
tensorflow,512,embedding_centroid,0.889411,0.013924,0.811721,0.018116,0.883873,0.020585,0.838816,0.018831,0.883873,0.020585
tensorflow,512,embedding_lr,0.913199,0.012032,0.844112,0.017388,0.915904,0.014658,0.872161,0.016022,0.961707,0.009399
tensorflow,512,hybrid_lr,0.919612,0.011661,0.855025,0.017718,0.911923,0.016462,0.87865,0.016385,0.965851,0.008853
