model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
embedding_knn,0.852736,0.021808,0.773901,0.032107,0.784449,0.035871,0.777884,0.032308,0.885165,0.024406,0.0,0.0,0.0,0.0,0.000673,0.000783,0.025111,5e-05,0.005731,0.00121,2.320648,0.000136,0.006404,0.001416,2.320648,0.000136,768,keras
baseline_nb_tfidf,0.839528,0.017962,0.553421,0.062216,0.522236,0.027785,0.522267,0.035634,0.522236,0.027785,0.2853,0.011437,18.594379,0.007049,0.251212,0.016908,29.12187,0.001486,0.003913,0.002836,10.394802,1.7e-05,0.540425,0.021001,29.12187,0.001486,768,pytorch
tfidf_lr,0.889528,0.019181,0.755351,0.03703,0.7896,0.050638,0.768877,0.040064,0.906739,0.023394,0.283787,0.013923,7.874043,0.6174,0.008,0.004698,0.975595,0.000397,0.000302,0.000321,0.00791,1.9e-05,0.292089,0.01504,7.874043,0.6174,768,pytorch
embedding_lr,0.882596,0.019745,0.755312,0.026798,0.878744,0.024721,0.793553,0.026011,0.94848,0.012979,0.0,0.0,0.0,0.0,0.005018,0.002778,3.360052,0.000426,0.000395,0.000195,1.326972,1.8e-05,0.005413,0.002919,3.360052,0.000426,768,pytorch
late_fusion_lr,0.892478,0.01551,0.764551,0.024557,0.855006,0.037777,0.796774,0.025777,0.946881,0.01436,0.283787,0.013923,7.874043,0.6174,0.013018,0.00564,3.360052,0.000426,0.000706,0.000389,1.326972,1.8e-05,0.297511,0.015641,7.874043,0.6174,768,pytorch
hybrid_lr,0.902507,0.015128,0.780765,0.026891,0.852427,0.04045,0.80802,0.027495,0.947226,0.013962,0.283787,0.013923,7.874043,0.6174,0.029021,0.010874,12.931675,0.013774,0.006088,0.002429,5.53415,0.014005,0.318896,0.012178,12.931675,0.013774,768,pytorch
embedding_centroid,0.856195,0.025531,0.726257,0.027614,0.864091,0.026026,0.761793,0.030669,0.864091,0.026026,0.0,0.0,0.0,0.0,0.000394,0.000713,1.364296,0.0,0.002427,0.001368,0.697735,0.000182,0.002822,0.001666,1.364296,0.0,768,pytorch
embedding_knn,0.90354,0.017015,0.786772,0.038852,0.798127,0.044443,0.789604,0.034882,0.911322,0.02763,0.0,0.0,0.0,0.0,0.000616,0.000311,0.027871,5.2e-05,0.00766,0.004813,2.662162,0.000142,0.008276,0.004883,2.662162,0.000142,768,pytorch
baseline_nb_tfidf,0.731394,0.019957,0.601003,0.019765,0.623408,0.024378,0.606939,0.021519,0.62289,0.024796,0.929716,0.072913,36.715971,0.012814,0.380917,0.029416,55.220074,0.001303,0.007378,0.003172,20.513069,1.3e-05,1.318011,0.092496,55.220074,0.001303,768,tensorflow
tfidf_lr,0.878523,0.017518,0.797622,0.023217,0.854142,0.023759,0.819567,0.023008,0.932038,0.013867,0.871688,0.034034,20.115342,0.4559,0.009374,0.004824,0.992022,0.000491,0.000343,0.000217,0.014654,1.9e-05,0.881404,0.035057,20.115342,0.4559,768,tensorflow
embedding_lr,0.917301,0.009698,0.849708,0.01373,0.919192,0.014888,0.877402,0.013602,0.963305,0.008913,0.0,0.0,0.0,0.0,0.008354,0.006501,6.405782,0.000522,0.000564,0.000438,2.62358,1.8e-05,0.008918,0.00649,6.405782,0.000522,768,tensorflow
late_fusion_lr,0.917673,0.012017,0.851733,0.01765,0.912102,0.018376,0.8764,0.016914,0.963817,0.008847,0.871688,0.034034,20.115342,0.4559,0.017727,0.007506,6.405782,0.000522,0.000919,0.000489,2.62358,1.8e-05,0.890334,0.034164,20.115342,0.4559,768,tensorflow
hybrid_lr,0.922968,0.010748,0.860303,0.016094,0.914294,0.016451,0.883044,0.015324,0.966587,0.008624,0.871688,0.034034,20.115342,0.4559,0.05173,0.012841,26.495359,0.032472,0.011593,0.004349,11.336706,0.024949,0.935011,0.035671,26.495359,0.032472,768,tensorflow
embedding_centroid,0.891201,0.013261,0.814139,0.017539,0.880705,0.020587,0.839822,0.01824,0.880705,0.020587,0.0,0.0,0.0,0.0,0.000366,0.000379,2.501015,0.0,0.003043,0.002774,1.346824,0.000212,0.003409,0.003093,2.501015,0.0,768,tensorflow
embedding_knn,0.886801,0.015203,0.808691,0.020611,0.875251,0.019302,0.833964,0.019857,0.936634,0.010542,0.0,0.0,0.0,0.0,0.000738,0.000458,0.052015,6.1e-05,0.015721,0.0067,6.149337,0.000146,0.016458,0.006796,6.149337,0.000146,768,tensorflow
