dataset,baseline_nb_tfidf,tfidf_lr,embedding_lr,hybrid_lr
caffe,0.614 (0.064),0.714 (0.070),0.724 (0.047),0.781 (0.059)
incubator-mxnet,0.514 (0.041),0.768 (0.031),0.817 (0.029),0.822 (0.040)
keras,0.539 (0.038),0.803 (0.038),0.820 (0.023),0.845 (0.024)
pytorch,0.522 (0.036),0.769 (0.040),0.794 (0.026),0.808 (0.027)
tensorflow,0.607 (0.022),0.820 (0.023),0.877 (0.014),0.883 (0.015)
