dataset,baseline_nb_tfidf,tfidf_lr,embedding_lr,hybrid_lr
caffe,0.608 (0.064),0.713 (0.068),0.729 (0.047),0.775 (0.051)
incubator-mxnet,0.514 (0.037),0.770 (0.033),0.820 (0.031),0.828 (0.037)
keras,0.535 (0.036),0.801 (0.035),0.817 (0.022),0.844 (0.023)
pytorch,0.518 (0.036),0.772 (0.040),0.793 (0.025),0.805 (0.028)
tensorflow,0.605 (0.024),0.819 (0.023),0.874 (0.015),0.885 (0.015)
