dataset,hybrid_f1_mean,late_fusion_f1_mean,delta_late_minus_hybrid,within_0_01
caffe,0.788041,0.776416,-0.011624999999999996,False
incubator-mxnet,0.843862,0.842037,-0.0018249999999999655,True
keras,0.855719,0.852711,-0.0030080000000000107,True
pytorch,0.814273,0.805784,-0.00848900000000008,True
tensorflow,0.881841,0.877876,-0.003964999999999996,True
