dataset,comparison_model,alternative_hypothesis,baseline_f1_mean,comparison_f1_mean,f1_gain_mean,f1_gain_std,f1_percent_improvement,n_positive_deltas,n_negative_deltas,n_zero_deltas,min_delta_f1,max_delta_f1,wilcoxon_statistic,wilcoxon_p_value
caffe,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.6075274249189401,0.7754042374549843,0.16787681253604433,0.08092645553592828,27.63279576365519,30,0,0,0.01650716982785294,0.3116464838050773,465.0,9.313225746154785e-10
incubator-mxnet,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5143629014710972,0.8283825967540498,0.31401969528295254,0.04760057077517027,61.05022239839701,30,0,0,0.22189278227014075,0.41059448936807424,465.0,9.313225746154785e-10
keras,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5347610665766813,0.8438837263208737,0.30912265974419245,0.04085876191642616,57.80575271177978,30,0,0,0.22937725845229306,0.38976006428063315,465.0,9.313225746154785e-10
pytorch,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5175427873057237,0.805472723564535,0.2879299362588114,0.0460666404202476,55.634035160212754,30,0,0,0.15335617892543896,0.37031368995154557,465.0,9.313225746154785e-10
tensorflow,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.604838905288537,0.8845791977477904,0.2797402924592535,0.028544209253004077,46.250380062076864,30,0,0,0.2355695563024104,0.34393241556785825,465.0,9.313225746154785e-10
