dataset,comparison_model,alternative_hypothesis,baseline_f1_mean,comparison_f1_mean,f1_gain_mean,f1_gain_std,f1_percent_improvement,n_positive_deltas,n_negative_deltas,n_zero_deltas,min_delta_f1,max_delta_f1,wilcoxon_statistic,wilcoxon_p_value
caffe,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.6143423027159188,0.7806379118169364,0.16629560910101754,0.07664535547889538,27.068884621138512,30,0,0,0.05361577542409379,0.32206420760712895,465.0,8.666533220995528e-07
incubator-mxnet,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5140877374887611,0.8217408036837611,0.307653066195,0.04951582966317584,59.844466957690436,30,0,0,0.22189278227014075,0.41059448936807424,465.0,9.313225746154785e-10
keras,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.538994287547084,0.8448399968969608,0.3058457093498768,0.041542091775186245,56.743775660731764,30,0,0,0.20626752501864687,0.3784106841378506,465.0,9.313225746154785e-10
pytorch,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5222666137992872,0.808020074064667,0.2857534602653799,0.04317158743433998,54.71409673052509,30,0,0,0.1692985990817788,0.3498240632568991,465.0,9.313225746154785e-10
tensorflow,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.6069389906791206,0.883043853713856,0.2761048630347354,0.026803524490649027,45.49137018298893,30,0,0,0.21736568827086078,0.32639358981877387,465.0,9.313225746154785e-10
