model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std,feature_prep_seconds_mean,feature_prep_seconds_std,feature_prep_memory_mb_mean,feature_prep_memory_mb_std,fit_seconds_mean,fit_seconds_std,fit_memory_mb_mean,fit_memory_mb_std,predict_seconds_mean,predict_seconds_std,predict_memory_mb_mean,predict_memory_mb_std,runtime_seconds_mean,runtime_seconds_std,peak_python_memory_mb_mean,peak_python_memory_mb_std,embedding_dimension,dataset
embedding_knn,0.874959,0.022845,0.807146,0.033362,0.827734,0.030184,0.815038,0.029578,0.910798,0.019747,0.0,0.0,0.0,0.0,0.000942,0.00143,0.025083,5.6e-05,0.006417,0.004139,2.320553,0.000152,0.007359,0.004984,2.320553,0.000152,768,keras
baseline_nb_tfidf,0.849263,0.012128,0.56165,0.062089,0.524879,0.028887,0.523093,0.039726,0.5248,0.028921,0.403029,0.014963,18.665373,0.009946,0.243281,0.017434,29.120753,0.001536,0.002979,0.000449,10.394807,1.1e-05,0.649289,0.017339,29.120753,0.001536,768,pytorch
tfidf_lr,0.880678,0.019075,0.738857,0.035391,0.780113,0.047257,0.755199,0.038048,0.906552,0.021354,0.391921,0.015159,9.363672,0.631917,0.006685,0.00448,0.975264,0.000395,0.0003,0.000176,0.007906,2.1e-05,0.398906,0.014635,9.363672,0.631917,768,pytorch
embedding_lr,0.884513,0.021781,0.75701,0.029112,0.873473,0.023248,0.794413,0.029124,0.948947,0.013302,0.0,0.0,0.0,0.0,0.004385,0.001718,3.35948,0.000293,0.000454,0.000372,1.326958,2.2e-05,0.004839,0.002007,3.35948,0.000293,768,pytorch
late_fusion_lr,0.896755,0.01752,0.772186,0.027668,0.865301,0.031157,0.805636,0.026827,0.946508,0.013442,0.391921,0.015159,9.363672,0.631917,0.011069,0.004837,3.35948,0.000293,0.000765,0.000405,1.326958,2.2e-05,0.403756,0.014421,9.363672,0.631917,768,pytorch
hybrid_lr,0.903392,0.016272,0.782523,0.029184,0.857346,0.033997,0.811173,0.027584,0.948941,0.013486,0.391921,0.015159,9.363672,0.631917,0.028766,0.011004,13.280943,0.019708,0.007807,0.005827,5.684402,0.020089,0.428494,0.015803,13.280943,0.019708,768,pytorch
embedding_centroid,0.85708,0.026271,0.72787,0.026773,0.867539,0.021171,0.763878,0.030487,0.867539,0.021171,0.0,0.0,0.0,0.0,0.000382,0.00064,1.364296,0.0,0.002235,0.000775,0.697442,0.000197,0.002617,0.001236,1.364296,0.0,768,pytorch
embedding_knn,0.899705,0.017091,0.780875,0.039758,0.779264,0.041769,0.776832,0.033848,0.920938,0.02375,0.0,0.0,0.0,0.0,0.000569,0.00025,0.027841,4.8e-05,0.007133,0.0027,2.662065,0.000134,0.007702,0.00276,2.662065,0.000134,768,pytorch
baseline_nb_tfidf,0.744146,0.017522,0.617541,0.021088,0.643916,0.029759,0.624999,0.022941,0.643165,0.030451,1.363739,0.077096,38.471559,0.692756,0.408695,0.026558,55.217911,0.000798,0.007724,0.003076,20.513072,8e-06,1.780157,0.09586,55.217911,0.000798,768,tensorflow
tfidf_lr,0.881432,0.018137,0.801379,0.024022,0.85883,0.026223,0.823825,0.024623,0.936915,0.015543,1.217025,0.05731,24.634457,1.050476,0.011616,0.003888,0.992068,0.000617,0.000598,0.001098,0.01466,1.3e-05,1.229239,0.057567,24.634457,1.050476,768,tensorflow
embedding_lr,0.916853,0.012269,0.849517,0.017717,0.917849,0.014656,0.876738,0.016457,0.964954,0.007292,0.0,0.0,0.0,0.0,0.00617,0.001965,6.405342,0.000389,0.000596,0.000392,2.623577,1.7e-05,0.006766,0.002235,6.405342,0.000389,768,tensorflow
late_fusion_lr,0.919612,0.013512,0.855016,0.020807,0.9136,0.015618,0.879124,0.018383,0.966316,0.007599,1.217025,0.05731,24.634457,1.050476,0.017786,0.004755,6.405342,0.000389,0.001212,0.001145,2.623577,1.7e-05,1.236023,0.058079,24.634457,1.050476,768,tensorflow
hybrid_lr,0.923043,0.012219,0.860596,0.019418,0.914645,0.015589,0.883307,0.017097,0.967893,0.007221,1.217025,0.05731,24.634457,1.050476,0.048655,0.013408,27.581835,0.039969,0.011072,0.003511,11.802991,0.033237,1.276752,0.058723,27.581835,0.039969,768,tensorflow
embedding_centroid,0.892245,0.014688,0.81583,0.018225,0.894462,0.016879,0.844553,0.018294,0.894462,0.016879,0.0,0.0,0.0,0.0,0.00033,0.000146,2.501015,0.0,0.003016,0.002577,1.346598,0.00017,0.003346,0.002709,2.501015,0.0,768,tensorflow
embedding_knn,0.88255,0.013081,0.802853,0.017257,0.869736,0.016485,0.828075,0.01656,0.931915,0.013181,0.0,0.0,0.0,0.0,0.000842,0.000802,0.051992,5.2e-05,0.017505,0.008367,6.149259,0.000145,0.018347,0.008501,6.149259,0.000145,768,tensorflow
