dataset,embedding_dimension,model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,auc_mean,auc_std
tensorflow,64,embedding_lr,0.889933,0.011489,0.812968,0.013932,0.901732,0.011793,0.843836,0.013957,0.95794,0.00781
tensorflow,64,hybrid_lr,0.910515,0.010944,0.840751,0.015657,0.907084,0.014498,0.86718,0.014821,0.963825,0.007703
tensorflow,128,embedding_centroid,0.865026,0.015603,0.783822,0.017177,0.877399,0.017468,0.813097,0.01855,0.877399,0.017468
tensorflow,128,embedding_lr,0.898658,0.013553,0.824205,0.017728,0.904511,0.013437,0.853737,0.016931,0.961239,0.006894
tensorflow,128,hybrid_lr,0.91387,0.012022,0.846149,0.017823,0.908387,0.014636,0.871325,0.016086,0.964804,0.007229
tensorflow,256,embedding_centroid,0.880313,0.014941,0.80107,0.017372,0.887269,0.015952,0.830575,0.017994,0.887269,0.015952
tensorflow,256,embedding_lr,0.909247,0.013067,0.838404,0.017754,0.915453,0.013112,0.867699,0.0166,0.963448,0.006412
tensorflow,256,hybrid_lr,0.921775,0.012147,0.858522,0.019319,0.914169,0.014023,0.881742,0.016584,0.966739,0.007114
tensorflow,512,embedding_centroid,0.890157,0.01425,0.813132,0.017797,0.889212,0.016792,0.84106,0.017688,0.889212,0.016792
tensorflow,512,embedding_lr,0.915884,0.012581,0.847861,0.017864,0.919235,0.014059,0.875935,0.016601,0.965807,0.006534
tensorflow,512,hybrid_lr,0.922744,0.011746,0.860325,0.018347,0.912936,0.016446,0.882555,0.016732,0.967713,0.007187
