dataset,comparison_model,alternative_hypothesis,baseline_f1_mean,comparison_f1_mean,f1_gain_mean,f1_gain_std,f1_percent_improvement,n_positive_deltas,n_negative_deltas,n_zero_deltas,min_delta_f1,max_delta_f1,wilcoxon_statistic,wilcoxon_p_value
caffe,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.6249789227062403,0.7950384655514159,0.1700595428451754,0.09787937508748668,27.210444491279063,29,1,0,-0.02733300454819443,0.4099671647473113,463.0,1.0626601867287266e-06
incubator-mxnet,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.507090452371289,0.8413954080831461,0.33430495571185703,0.03950865339721677,65.92609940663617,30,0,0,0.26902324779137887,0.41334129176975726,465.0,9.313225746154785e-10
keras,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.5176785802131944,0.8546438738866989,0.3369652936735045,0.04506275103677349,65.0916044343061,30,0,0,0.22794683692467632,0.4046514810147529,465.0,9.313225746154785e-10
pytorch,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.523092889360536,0.8111726424310726,0.28807975307053657,0.04995754576756878,55.07238942259465,30,0,0,0.19297993193874485,0.35757927922982913,465.0,8.666533220995528e-07
tensorflow,hybrid_lr,hybrid_lr > baseline_nb_tfidf,0.6249994817138217,0.8833066228224656,0.2583071411086439,0.029553392773728426,41.329176849928814,30,0,0,0.20511333539274723,0.31162330950770456,465.0,9.313225746154785e-10
